Author,Comment,Time,Cleaned_Comment,Sentiment_Score,Sentiment_Label
@fanyazharazizah7433,"Itulah lerja polisi sangat memuak kan, tinggal sita ijazah asli nya, diuji forensik bersama dari ahli tiga pihak, pihak jokowi, pihak roy suryo dan pihak kepolisian beres, uang rakyat digunakan untuk bayar orsng gak profesional",1 hari yang lalu,lerja polisi sangat muak kan tinggal sita ijazah asli nya uji forensik sama ahli tiga pihak pihak jokowi pihak roy suryo pihak polisi beres uang rakyat guna bayar orsng profesional,2,positif
@titinyuliana3841,DEWA PANCI,1 hari yang lalu,dewa panci,-1,negatif
@wiwinsetyawan2980,Lingkaran mulyono,1 hari yang lalu,lingkar mulyono,0,netral
@muhamadsoleh9480,Wow banyak orang2 pandai yg komen disini skrinshot ah buat kenangan😂😂😂😂,19 jam yang lalu,banyak orang pandai komen sini skrinshot ah buat kenang,1,positif
@ArmiSatria-i2s,"Kalau sama orang waras mang mudah,tp sama rismon cs kebenaran seolah punya mereka..",18 jam yang lalu,orang waras mang mudahtp rismon cs benar punya,1,positif
@AwalUdin-t8r,kejujuran tidak ada mata hati tertutup oleh harta dan dunia  ajaran agama dan ahklak kurang sehingga tidak tahu mana yg jujur dan tidak 4:16 a​ @AdiSusanto-zn9yr ,15 jam yang lalu,jujur mata hati tutup harta dunia ajar agama ahklak kurang mana jujur a znyr,3,positif
@Kedaton_123,Gantung org ini,11 jam yang lalu,gantung org,-1,negatif
@husmanthovaz7122,Minus 😂AHLI NUJUM,2 hari yang lalu,minus ahli nujum,1,positif
@iqbcup5791,barisan sakit hati,2 hari yang lalu,baris sakit hati,0,netral
@jamaltasik4141,Pak kasmudjo harus di bikin ahli jujur bulak balik galak lgi,2 hari yang lalu,pak kasmudjo bikin ahli jujur bulak balik galak lgi,1,positif
@agusshalimwk8460,Betul sekali matipun masih berbohong jokowi  pura2 mati,2 hari yang lalu,betul sekali mati bohong jokowi pura mati,-3,negatif
@cepihusmana7121,Apa bisa malaikat yang nanyain dia di alam kubur juga dibohongi? 😂,2 hari yang lalu,apa malaikat nanyain alam kubur bohong,0,netral
@AjiSalim-fb4mr,Preettt,2 hari yang lalu,preettt,0,netral
@yayanKusdiana-g3j,"REPUBLIK NGIBUL MULYONO..
CUMA SI NEGERI KONOHA...
SATU PRESIDEN,,, SATU KOMANDO BISA NGIBUL BERJAMAAH...😂",2 hari yang lalu,republik ngibul mulyono si negeri konoha satu presiden satu komando ngibul jamaah,0,netral
@Bambang-zj8xd,"​@cepihusmana7121Ya pastilah..walaupun  Jokowi mati..arwahnya akan bilang "" Saya sehat-sehat saja ""😂😂😂😂😂",2 hari yang lalu,pastilahwalaupun jokowi matiarwahnya bilang sehatsehat,0,netral
@rinahapsari6445,​ @iqbcup5791  Barisan TERMULLL dari B0Y0LALI 🤣🤣🤣,2 hari yang lalu,baris termulll bylali,0,netral
@MansurJaya-k3l,"Yg berbohong itu penuduh ijazah palsu , apa  dasarnya Roy panci  menyatakan ijazah Jokowi palsu ,,,? Dari mana,,? Lagi lagi kosinudin membela para pembohong itu bawa agama tp nyari duit berapasih dibayar dgn Roy panci jd kami rakyat Indonesia berpendapat bahwa:  kosinudin bayarannya tinggi sehingga  banting tulang bahkan berkelahipun dipengadilan mau Krn mempertahankan bayarannya yg cukup lumayan",2 hari yang lalu,bohong tuduh ijazah palsu apa dasar roy panci nyata ijazah jokowi palsu mana kosinudin bela bohong bawa agama tp nyari duit berapasih bayar dgn roy panci rakyat indonesia dapat kosinudin bayar tinggi banting tulang bahkan kelah adil krn tahan bayar cukup lumayan,-5,negatif
@FirdaElek-g3x,Orang sakit hati bisa sadar apabila udah di kasih patok atas bawah,2 hari yang lalu,orang sakit hati sadar apabila kasih patok atas bawah,0,netral
@yayanKusdiana-g3j,"​ @MansurJaya-k3l 
Argumen nya masih dangkal..",2 hari yang lalu,kl argumen nya dangkal,-1,negatif
@dedesadewa4425,​ @MansurJaya-k3l bukanya kebalik? Disana banyak pengacara yg bayaranya mahal,2 hari yang lalu,kl buka balik sana banyak acara bayaranya mahal,1,positif
@dodol9792,"​ @yayanKusdiana-g3j 
Kalau urgument ini apa masih dangkal..👇

Rasulullah SAW pernah bersabda:  ""Andaikan semua manusia diberi (apa yang mereka dakwakan)  niscaya akan banyak orang yang mendakwa/menuntut harta/darah orang lain,""",2 hari yang lalu,gj urgument apa dangkal rasulullah saw pernah sabda andai semua manusia beri apa dakwa niscaya banyak orang mendakwamenuntut hartadarah orang,0,netral
@oreo-ok2gl,​ @MansurJaya-k3l lah sampe sekarang ijazah aslinya juga kagak ditunjukin. Artinya apa ? Kalo aslimah pasti bangga ini loh ijazah saya 😂 logikanya jangan kebalik,2 hari yang lalu,kl lah sampe ijazah asli kagak ditunjukin arti apa aslimah bangga loh ijazah logika jangan balik,2,positif
@AdiSusanto-zn9yr,Kamu percaya UGM atau roy cs,2 hari yang lalu,kamu percaya ugm roy cs,0,netral
@MujiAnto-v1x,"Jokowi menyiksa diri sendiri, hidupnya dibikin sulit sendiri.,",2 hari yang lalu,jokowi siksa diri sendiri hidup bikin sulit sendiri,0,netral
@dodol9792,"​ @oreo-ok2gl 
KOMENT LU AJA BAU TOKAI...😂😂😂😂",2 hari yang lalu,okgl koment lu bau tokai,-1,negatif
@AdiSusanto-zn9yr,Kyknya cm kmu yg tersiksa ​ @MujiAnto-v1x ,2 hari yang lalu,kyknya kmu siksa vx,0,netral
@Registrasi831,"ntar ditanya malaikat dlm kubur: ""Siapa Tuhanmu?""
apa jwabnya gitu juga ya? ""lha ndak tau kok tanya saya?""",2 hari yang lalu,ntar tanya malaikat dlm kubur siapa tuhan apa jwabnya lha ndak kok tanya,1,positif
@GunawanGunawan-uj8uu,Kurang apem... Banyak2in istiqfar mas 😂😂.. Nanti nyesel loh'..mati ngak ngerasain banyak apem..,1 hari yang lalu (diedit),kurang apem banyakin istiqfar mas nyesel lohmati ngak ngerasain banyak apem,0,netral
@imamsuhadi7260,sama2 manussia,1 hari yang lalu,manussia,0,netral
@espadarichie6680,"Ya gitulah kl urusan sama raja ngibul, isinya kl gak ngibul ya rekayasa",1 hari yang lalu,gitulah kl urus raja ngibul isi kl ngibul rekayasa,0,netral
@G...45mjgjugjuuugggh,Hhh knapa msh melibatkan 7ahli KLO MMG asli tunjukkan saja 😂😂😂,1 hari yang lalu,hhh knapa msh libat ahli klo mmg asli tunjuk,2,positif
@kireinachannel5252,​ @MansurJaya-k3l klo cari uang sih tinggal masuk ke kuasaan pasti bnyakakan di sono bang,1 hari yang lalu,kl klo cari uang tinggal masuk kuasa bnyakakan sono bang,1,positif
@sunardisunardi5776,"Kamu pilih yang mana
Muka mu bengkak,apa ijazahmu terkuak?

Klw soal bayar,cukup bwt beli dupa segudang az",1 hari yang lalu,kamu pilih mana muka mu bengkakapa ijazah kuak klw soal bayarcukup bwt beli dupa gudang az,-1,negatif
@AdyaZimam-r7u,Ayo tunjukkan saja jangan sampai ada rekayasa bareskrim itu banyak mereka yasa kasus  makanya hrs di tunjukkan dan di periksa para ahli digital forensik s eperti resmon dan roy suryo kalau termul semua bisa di benarkan karena bisa menghalalkan segala cara,1 hari yang lalu,ayo tunjuk jangan rekayasa bareskrim banyak yasa kasus makanya hrs tunjuk periksa ahli digital forensik s eperti resmon roy suryo termul semua benar halal segala cara,3,positif
@PriadiKassan,Laah buat apa ijazah asli ditunjukan. Emang ente nyimaknya gimana siih tentang ijazah koo malah mibta ditunjukan. Emang pa jokowi harus nunjukin ijazah asli emangnya lagi ngelamar kerjaan apa.😂😂 Realistis lah broo berfikir​ @oreo-ok2gl ,1 hari yang lalu,laah buat apa ijazah asli tunjuk ente nyimaknya siih ijazah koo mibta tunjuk pa jokowi nunjukin ijazah asli emang ngelamar kerja apa realistis lah broo berfikir okgl,2,positif
@solekhun8175,Klau benar Jokowi punya Ijasah asli dari UGM wawasanya kebangsaan & narasi ngomongnya akan kelihatan lebih intelek gak kayak orang gagal paham alias bodonya.,1 hari yang lalu,klau benar jokowi punya ijasah asli ugm wawasanya bangsa narasi ngomongnya lihat lebih intelek orang gagal paham alias bodonya,1,positif
@arieeweny1769,"Menghilangkan kebencian itu lebih sulit, dari pada bersabar,,, dan gk mungkin hilang klu kebencian sudah menyatu dgn darah dan daging,,, 
Dipastikan benci sampai mati,,,",1 hari yang lalu,hilang benci lebih sulit sabar gk mungkin hilang klu benci satu dgn darah daging pasti benci mati,-5,negatif
@arisuryanto9788,Makanya karena tuduhan Ijzah palsu si Roy dan Rismon di dasarkan Kebohongan jadi sampai hari ini gerombolan ini terus mencari Kebohongan baru untuk menutupi tuduhan mereka,1 hari yang lalu,makanya tuduh ijzah palsu si roy rismon dasar bohong hari gerombol cari bohong baru tutup tuduh,-3,negatif
@arisuryanto9788,Makanya karena tuduhan Ijzah palsu si Roy dan Rismon di dasarkan Kebohongan jadi sampai hari ini gerombolan ini terus mencari Kebohongan baru untuk menutupi tuduhan mereka,1 hari yang lalu,makanya tuduh ijzah palsu si roy rismon dasar bohong hari gerombol cari bohong baru tutup tuduh,-3,negatif
@muhana4946,"Kalau proses fair dan adil bisa saja terjadi penuduh kena pasal pencemaran nama baik, inivterkait dengan bagaimana menyampaikan berita di publik, dan akan tetapi ijazah harus benar-benar dibuktikan secara forensik dan seandainya palsu ya hakim harus berani memutuskan palsu meskipun penuduh kena pasal pencemaran nama baik.",1 hari yang lalu,proses fair adil jadi tuduh kena pasal cemar nama baik inivterkait bagaimana sampai berita publik ijazah benarbenar bukti forensik anda palsu hakim berani putus palsu meski tuduh kena pasal cemar nama baik,-1,negatif
@rossi0213,​ @FirdaElek-g3x  sakit hati buat apa LOL ??,1 hari yang lalu,gx sakit hati buat apa lol,0,netral
@wibowobowo7062,Ijazah kl di buka dr dl gk smpai 1 hr kelar.uji frnsik dr dua pihak itu baru msyrkat tau...km ini termul jga ya.mmx jd bkdoh.nyata2 jkwi berbohong super ruwet kok matamu gk lihat..​ @MansurJaya-k3l ,1 hari yang lalu,ijazah kl buka dr dl gk smpai hr kelaruji frnsik dr pihak baru msyrkat taukm termul jga yammx bkdohnyata jkwi bohong super ruwet kok mata gk lihat kl,0,netral
@eddirmannurdin1091,Yang membela pembohong biasanya pendusta.,1 hari yang lalu,bela bohong biasa dusta,-3,negatif
@LyricalPontianak,"100 AHLI pun masih tidak dipercaya oleh KELOMPOK SAKIT HATI. APALAGI HANYA 2, 3 AHLI SAJA.",1 hari yang lalu,ahli percaya kelompok sakit hati ahli,2,positif
@EkoSugiarto-r5v,Bohong Mulu.... Msh ada yg percaya hadeh...,1 hari yang lalu,bohong mulu msh percaya hadeh,-1,negatif
@KristiantoTian-y9s,Apakah hukum kalau ijazah palsu apa pasalnya mungkin seumur hidup,1 hari yang lalu,hukum ijazah palsu apa pasal mungkin umur hidup,-2,negatif
@sutikno1711,"Banyak ahli, akan kian terkubur para halu fitnator akadmisi",1 hari yang lalu,banyak ahli kian kubur halu fitnator akadmisi,2,positif
@BismillahKebaikan,Knp HTI dn FPI Kalah mulu lengserkan ? Sejak 2014 2019 2024 sampai skarang.,1 hari yang lalu,knp hti dn fpi kalah mulu lengser sejak skarang,-1,negatif
@IrwanDi-p3o,​ @MansurJaya-k3l preet sekali..,1 hari yang lalu,kl preet sekali,0,netral
@susiantopotopo,Kekeh dalam dusta,1 hari yang lalu,kekeh dusta,-1,negatif
@JitoSuhar-t3x,​ @oreo-ok2gl kamu yg pakai.logika kebalik,1 hari yang lalu,okgl kamu pakailogika balik,0,netral
@JitoSuhar-t3x,​ @solekhun8175 presiden 2 periode bro?kamu?,1 hari yang lalu,presiden periode brokamu,0,netral
@fahrujiprisnianta5957,​ @iqbcup5791 barisan sakit hati vs barisan kang bohong😂😂 cocok dah sama2 oon😂😂,1 hari yang lalu,baris sakit hati vs baris kang bohong cocok oon,0,netral
@peterray7103,"Sungguh berdosa Anda menuduh Jokowi  berbohong... sementara kasus ini belum masuk ke Pengadilan yg menyatakan izajah Jokowi palsu. Bertobatlah, jangan karena benci dgn keluarga Jokowi Anda menjadi hakim",1 hari yang lalu,sungguh dosa tuduh jokowi bohong kasus masuk adil nyata izajah jokowi palsu tobat jangan benci dgn keluarga jokowi jadi hakim,-3,negatif
@fahrujiprisnianta5957,​ @AdiSusanto-zn9yr 2 2 nya belum bisa dipercaya karna mereka semua manusia biasa bisa salah.,1 hari yang lalu,znyr nya percaya karna semua manusia biasa salah,-2,negatif
@YakubYakub-wz3sx,Hahahahaha Bisa Saja  BP   singkat. Padat  kental  komplit,1 hari yang lalu,hahahahaha bp singkat padat kental komplit,-2,negatif
@SuwadiWadi-z9w,Pki,1 hari yang lalu,pki,0,netral
@abahlukychanel5346,"​ @iqbcup5791 komentar basi, saking ga punya lagi argumen 😅😅😅",1 hari yang lalu,komentar basi saking punya argumen,-1,negatif
@budiyanto-q3s,​@PriadiKassanpejabat publik harus jujur,1 hari yang lalu,publik jujur,1,positif
@anaknakal9677,"intinya h t i dan f p i, aliran sesat 😂",1 hari yang lalu,inti h t i f p i alir sesat,-1,negatif
@ukkajawa8489,"Ijazah ko seribet ini, ahli apa lagi yng mau tampil, ijazah dl yang tampil, initinya ijazah ko ribet bnget.",1 hari yang lalu,ijazah ko seribet ahli apa yng tampil ijazah dl tampil initinya ijazah ko ribet bnget,0,netral
@Dani-d2x6h,Kata siapa,1 hari yang lalu,kata siapa,0,netral
@SugandaNda-w5p,Y itu loe kan yg kaya gtu....,1 hari yang lalu,y loe kan gtu,0,netral
@syahrunsesbu2173,Yah kalau terlanjur mati dalam kebohongan. Dikuburnya dengan kebohongan juga. Maksudnya pura-pura di kubur tapi ternyata dibuang saja ke laut.,1 hari yang lalu,yah lanjur mati bohong kubur bohong maksud purapura kubur nyata buang laut,-3,negatif
@ningning6415,Harusnya lu tinggal di Mars atau Pluto sono​ @yayanKusdiana-g3j ,1 hari yang lalu,harus lu tinggal mars pluto sono gj,0,netral
@adiwiyono-f1g,kalo maennya kurang jauh ya begini...,1 hari yang lalu,maennya kurang jauh,-2,negatif
@rahelazalia3883,Tpua berkumpul nih😅,1 hari yang lalu,tpua kumpul,0,netral
@SafriHendrawan,Dibayar piro 😊,1 hari yang lalu,bayar piro,0,netral
@ikiaw3508,"Sudah jelas ijazahnya asli tidak ada, kalau ada dari dulu sudah selesai.",1 hari yang lalu,jelas ijazah asli dulu selesai,1,positif
@normansasongko4118,"​ @AdiSusanto-zn9yr aku wong njowo Seko Purworejo Jateng 
Aku luweh percoyo Karo Roy Suryo Rismon Tiva TPUA dkk bravo bravo bravo perjuang",1 hari yang lalu,znyr aku wong njowo seko purworejo jateng aku luweh percoyo karo roy suryo rismon tiva tpua dkk bravo bravo bravo juang,0,netral
@boyman1238,​ @jamaltasik4141 sayang Pak Kasmujo sudah tua dan sudah Pikun. Tak bisa di buat untuk saksi.,1 hari yang lalu,sayang pak kasmujo tua pikun tak buat saksi,0,netral
@RojoRatu,👍 kalo tahlilan ijasah,1 hari yang lalu,tahlil ijasah,0,netral
@AgusSetiawan-xz3do,Rakyat yg mna yg sependapat dg anda🤣🤣🤣​ @MansurJaya-k3l ,1 hari yang lalu,rakyat mna dapat dg kl,0,netral
@rahmats-g3m,"liat aja nanti endingnya, pasti sadis.",1 hari yang lalu,liat endingnya sadis,0,netral
@AchmadSusanto-py8gb,Kapan rompi shopy dipakai tifa kurnia roy rismon egi????,1 hari yang lalu,kapan rompi shopy pakai tifa kurnia roy rismon egi,0,netral
@titinyuliana3841,DEWA PANCI laknatullah,1 hari yang lalu,dewa panci laknatullah,-1,negatif
@farizpamungkas9522,"​ @MansurJaya-k3l rakyat yg mana?? Justru si mulyono yg harusnya tinggal buktiin kalo ijasahnya memang asli, trus penjarakan roy suryo cs juga gampang,, tapi nyatanya gx begitu, si mulyono malah nyewa pengacara bayar ini itu ribeeettttttttttttt..",1 hari yang lalu,kl rakyat mana justru si mulyono harus tinggal buktiin ijasahnya memang asli trus penjara roy suryo cs gampang nyata gx si mulyono nyewa acara bayar ribeeettttttttttttt,0,netral
@tiniabqori6766,Orang yang di selimuti kebencian .....apapun akan menjadi kepencian,1 hari yang lalu,orang selimut benci apa jadi kepencian,-1,negatif
@nikoelfan806,Betullll😅😅😅😅,1 hari yang lalu,betullll,0,netral
@bimantoroguntur2709,2500milyar masyarakat dunia ghoib dipaksa mengakui fotocopi adalah asli😂😂😂😂😂,1 hari yang lalu,milyar masyarakat dunia ghoib paksa aku fotocopi asli,1,positif
@IwanKph-w4q,Banyak banyak istiqhfar.nggk usahlah neko neko.hidup nggk lama kok  ..,1 hari yang lalu,banyak banyak istiqhfarnggk usah neko nekohidup nggk lama kok,1,positif
@al-asrvipwater3380,TERIMAKASIH PAK KASMUDJO TELAH BERKATA JUJUR,1 hari yang lalu,terimakasih pak kasmudjo kata jujur,1,positif
@tiarakhairani4203,Kuasa hukum fulus,1 hari yang lalu,kuasa hukum fulus,1,positif
@yws3675,😂 sebenarnya mereka yang selalu berteriak bohong dia lah yang selaluu berbohong 😂😂😂takut ketahuan makanya makin keras menuduh nya 😂,1 hari yang lalu,benar selalu teriak bohong lah selaluu bohong takut tahu makanya makin keras tuduh nya,-4,negatif
@Chartier-bn2le,Menutupi kebohongan itu Dan banyak ngeluarin duit 😂,18 jam yang lalu,tutup bohong banyak ngeluarin duit,0,netral
@ApelLobak,Butuh malaikat ga buat jd ahli?,18 jam yang lalu,butuh malaikat buat ahli,2,positif
@AbdulWahid-f7u,"Emang betul,kekalahan sangat menyakitkan.",17 jam yang lalu,betulkekalahan sangat sakit,-1,negatif
@muhammadhizammasruri6515,buzzer banteng,15 jam yang lalu,buzzer banteng,0,netral
@romiframika477,​ @muhammadhizammasruri6515  sy do'a kan. Di akhirat km satu golongan satu klompok dgn mulyono sy do'a kan di ahirat km berdampingan dgn mulyono.... Amin amin amin yrb..,15 jam yang lalu,sy doa kan akhirat km satu golong satu klompok dgn mulyono sy doa kan ahirat km damping dgn mulyono amin amin amin yrb,0,netral
@AwalUdin-t8r,​ @AdiSusanto-zn9yr saya tidak percaya sama siapapun semoga yg berbohong mendapat azab  yg sangat pedih,15 jam yang lalu,znyr percaya siapa moga bohong dapat azab sangat pedih,-1,negatif
@erizalelma9808,Yang  kata nya  Produk  Pramungka  Tidak  di  Selidiki,5 jam yang lalu,kata nya produk pramungka selidik,0,netral
@edisupyan9475,Yg minta² tunjukin tilil... Biar ditunjukin emnk langsung percaya si panci... Lebih baik selesaikan di persidangan saja biar masuk penjara lagi itu panci wkwkwkwkwk bahagianya,2 jam yang lalu,minta tunjukin tilil biar ditunjukin emnk langsung percaya si panci lebih baik selesai sidang biar masuk penjara panci wkwkwkwkwk bahagia,-1,negatif
@FaizCell-q2l,​ @rinahapsari6445  ternak abah nambah lagi selain onta  ada kerbau juga. 😂😂😂😂😂,1 jam yang lalu,ternak abah nambah onta kerbau,0,netral
@arnowosigitcaroko,Sehat selalu terus melihat HTI dibubarkan,2 hari yang lalu,sehat selalu lihat hti bubar,1,positif
@kanayanahda3799,Muhammad tompel 😂😂😂,2 hari yang lalu,muhammad tompel,0,netral
@Colaaa__,"Palsu ko ijazah 
Ijazah ko palsu 
Sungguh memalukan",2 hari yang lalu,palsu ko ijazah ijazah ko palsu sungguh malu,-2,negatif
@MemedRahayudin,"😂😂😂😂Luar biasa ,, tinggal nunggu Gilirannya, agar bisa Reuni Bareng Sama Temannya",2 hari yang lalu,luar biasa tinggal nunggu gilir reuni bareng teman,-1,negatif
