Cleaned_Comment,Sentiment_Label
gj urgument apa dangkal rasulullah saw pernah sabda andai semua manusia beri apa dakwa niscaya banyak orang mendakwamenuntut hartadarah orang,netral
moga kelak proses lidi ttg dorong perintah lebih bersih proses adil ri aamiin,positif
laah buat apa ijazah asli tunjuk ente nyimaknya siih ijazah koo mibta tunjuk pa jokowi nunjukin ijazah asli emang ngelamar kerja apa realistis lah broo berfikir okgl,positif
tunjuk ijazah publik kira roy cs bakal percaya asli,positif
kuasa lepas dulu adil selesai trims,netral
om btulll msuk akal sehat,positif
lah lu asli ny aj tp bilang palsu,netral
lama tdk buka periksa jangan harap netizen percaya hasil periksa daro polda metro,negatif
siapa bohong nantikita lihat dipengadilandan siapa giring utk inap hotel prodeo,negatif
gol roy cs biar puas,netral
sekali ahli kubur,positif
percaya ladusing,netral
kan bilang identik otentik satu pihak mutusin,netral
sekali bohong bohong lanjut tutup bohong belum haduh sulit mudah,negatif
sekali cundang tetap cundang,positif
wakil publik,netral
ntar tanya malaikat dlm kubur siapa tuhan apa jwabnya lha ndak kok tanya,positif
fitnah tanggung jawab dunia akhirat nt,negatif
jgn jgn bela jowki,netral
inti h t i f p i alir sesat,negatif
bayar piro,netral
allohu akbarmantab adil jokowi,netral
jujur bpjs km palsu asli,positif
orang bikin mudah sulit,positif
tutup bohong banyak ngeluarin duit,netral
ahmad jago hebat loe simple mudah dicernak terang ente sehat slalu bang,positif
khusus cerdas berani bodoh takut hilang beras jgn ikut,negatif
bela benar bkn bela buat hoax,positif
alhamdulilah km turun jalan bersih bersih sampah,positif
ribu ahli apa percuma benar butuh moral etikabila orang ahli pihak salah satu apa sengketa kan percuma hukum putar balik sesuai apa hendak sang modal besar,positif
benar buka kok tuhan dulu tp rata orang indonesia mata batin nya buka sadar nya tutup pernah suka mulyono terlalu licik,netral
ew sory bro bpjs mandiri yaatidak termul,netral
jangan ahli juta ahli bela bohong allah swt bukti benar,positif
aamiin,netral
bela bohong bohong tipu tipu dosa balas laknat laku moga ahli ahli nya condong uang bayar bayak,negatif
iya sayang tdk tunjuk foto ijazah foto kopi aneh sidik,positif
okgl koment lu bau tokai,negatif
roy panci cs bingung cari panci baru,negatif
pak arianto klhatan sekali kl jubirnya mulyono bik jubirnya polri,netral
ew apa hubung bpjs bang alhamdulillah bpjs mandiri tdk harap dgn bpjs gratis abang bang kelas,positif
minus ahli nujum,positif
hilang benci lebih sulit sabar gk mungkin hilang klu benci satu dgn darah daging pasti benci mati,negatif
bohong sulit susah belit belit jujur sangat sederhana mudah,netral
konsisten nagcok,positif
pak arianto jubir jokowi bukan ahli polri,positif
padahal tdk rumit gigi foto detil sdh tebak,netral
moga kasus tangan hakim jujur independen,positif
masalah ecek buat ribet mulyono butuh jujur bukti kasus duga apa kataka tulis arang buku jokowi undercover benar ada,netral
ring jauh takuut ahmadminta dihentikanlatihan benerwkkwk,negatif
cemar nama baik lihat aj ijazah jokowi tunjukkankami rakyat turun jalan,positif
justru alumni palsumaka berani konprensi fersm,netral
ahli utu berapa bayar jujur paling mahal,positif
pjokowi sdikitpun tak punya sifat negarawan kalaupun memang izajah tinggal tunjuk kan semua selesai adu domba rakyat penjara rakyat,negatif
benar mudah jujur butuh usaha banyak belit belit,positif
om benar,positif
ngga perlu orang ahli perlu orang orang jujur orang orang waras,netral
benar,positif
bohong bohong bohong bohong bawa mati situ coba kamu bohong pd malaikat,negatif
cerdas anak abah,positif
agama islam,netral
aamiin,netral
konferensi pers ijazah fotocopy,netral
dulu mungkin tunjuk bos,negatif
siap saksi ahli jujur,positif
acara asal bicara penting bicara tp sayang sering kepleset,positif
rdj biarin bilang cerdas orang sederhana literasinya,positif
setujusaya bukan bela roy suryo cstp klw glagat nya pasti palsu ijazah jokowi,negatif
kl argumen nya dangkal,negatif
siapa juang,netral
benar selalu teriak bohong lah selaluu bohong takut tahu makanya makin keras tuduh nya,negatif
bang rifai santun dasar ilmu hukum,netral
znyr percaya siapa moga bohong dapat azab sangat pedih,negatif
gaduh rakyat htifpianak abah karna sebentar rismon cs masuk penjara,negatif
masyarakat koq selalu takut takut,negatif
arianto pantas jadi ahli jiwa khusus tangan gibran,positif
pak ahmad khosinudin kata kebenaranyg org samping bela bohong biar allah swt balas,negatif
benar paksa diri tdnya sy ragu ugm bilang keluar arti asli jokowi daftar diugm kuliah bulan sekali apa minggu sekali klo daftar bayar ikut uji asli ugm kash ijazah alias jokowi beli pinggir jln,positif
se doa kan bela dasar tdk benar jujur smga kena azab allah aamiin yra,positif
apa cerdas wkwkwkwk,positif
masalah tega hukum bukan pintar bicara perlu bukti benar sesuai pakta hukum buah pasti bukan benci,netral
semua ahli pasti ternak mulyono,positif
bi lihat tgl julisiapa hak baju orengeutk nginep hotel prodeo,netral
nyata pakta ijazah jokowi palsu,negatif
waduh bang ahmad khonudin keroyok dg geng solomudahan tambah kuat alloh,netral
jkw seperti stres berfikir keras bagaimana keluar situasi,negatif
kuat beli pancitanvan,netral
cerdas apa nya orang bela orang salah,netral
fakta aju roy suryo cs logis terang benderang sangat dragukan ijasah jokowi pakai logika kuasa lewat polisi bangun argumen narasi via tenaga ahli akhir nya logika akal sehat masyarakat paksa terima logika kuasa,positif
mulai gerah gosimcari narasi,negatif
dinegri konoha bikin ribut masalah ijasa,negatif
diaaaammm,netral
harap rakyat agak sulit terap,netral
makanya skolah biar paham,netral
begitu sifat pki,netral
waduhini budak bin jongos habib yaudh dpt kunci serep surga dr habib dobollowi nihminta rante emas dak,positif
ikut turun jalan utk tegak adil,netral
malaysia hadir dukung pak jokowi,positif
butuh malaikat buat ahli,positif
ariyanto kurang update nya tutup bela kebohongangmana percaya bapak inidia banyak palsu,negatif
kroni hti sakit hati,netral
orang baik mana klu,positif
ternak muldongo,netral
jujur buka benar allah lah maha segala,positif
znyr hadehhh nanya sederhana dmana kl guoblox jgn lewat mul sederhana tunjuk ijazzahnya blog,netral
hti fpi,netral
